DATAFLOW,LAST UPDATE,freq,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:TPS00003(1.0),02/04/25 23:00:00,Annuel,Personnes par kilomètre carré,Albanie,2012,100.7,,
ESTAT:TPS00003(1.0),02/04/25 23:00:00,Annuel,Personnes par kilomètre carré,Albanie,2013,100.6,,
ESTAT:TPS00003(1.0),02/04/25 23:00:00,Annuel,Personnes par kilomètre carré,Albanie,2014,100.4,,
ESTAT:TPS00003(1.0),02/04/25 23:00:00,Annuel,Personnes par kilomètre carré,Albanie,2015,100.1,,
ESTAT:TPS00003(1.0),02/04/25 23:00:00,Annuel,Personnes par kilomètre carré,Albanie,2016,99.9,,
ESTAT:TPS00003(1.0),02/04/25 23:00:00,Annuel,Personnes par kilomètre carré,Albanie,2017,99.8,,
ESTAT:TPS00003(1.0),02/04/25 23:00:00,Annuel,Personnes par kilomètre carré,Albanie,2018,99.6,,
ESTAT:TPS00003(1.0),02/04/25 23:00:00,Annuel,Personnes par kilomètre carré,Albanie,2019,99.1,,
ESTAT:TPS00003(1.0),02/04/25 23:00:00,Annuel,Personnes par kilomètre carré,Albanie,2020,101.6,e,
ESTAT:TPS00003(1.0),02/04/25 23:00:00,Annuel,Personnes par kilomètre carré,Albanie,2021,101.0,e,
ESTAT:TPS00003(1.0),02/04/25 23:00:00,Annuel,Personnes par kilomètre carré,Albanie,2022,98.8,e,
ESTAT:TPS00003(1.0),02/04/25 23:00:00,Annuel,Personnes par kilomètre carré,Autriche,2012,102.3,,
ESTAT:TPS00003(1.0),02/04/25 23:00:00,Annuel,Personnes par kilomètre carré,Autriche,2013,102.9,,
ESTAT:TPS00003(1.0),02/04/25 23:00:00,Annuel,Personnes par kilomètre carré,Autriche,2014,103.7,,
ESTAT:TPS00003(1.0),02/04/25 23:00:00,Annuel,Personnes par kilomètre carré,Autriche,2015,104.9,,
ESTAT:TPS00003(1.0),02/04/25 23:00:00,Annuel,Personnes par kilomètre carré,Autriche,2016,106.0,b,
ESTAT:TPS00003(1.0),02/04/25 23:00:00,Annuel,Personnes par kilomètre carré,Autriche,2017,106.8,,
ESTAT:TPS00003(1.0),02/04/25 23:00:00,Annuel,Personnes par kilomètre carré,Autriche,2018,107.1,,
ESTAT:TPS00003(1.0),02/04/25 23:00:00,Annuel,Personnes par kilomètre carré,Autriche,2019,107.6,,
ESTAT:TPS00003(1.0),02/04/25 23:00:00,Annuel,Personnes par kilomètre carré,Autriche,2020,107.6,,
ESTAT:TPS00003(1.0),02/04/25 23:00:00,Annuel,Personnes par kilomètre carré,Autriche,2021,108.1,,
ESTAT:TPS00003(1.0),02/04/25 23:00:00,Annuel,Personnes par kilomètre carré,Autriche,2022,109.6,,
ESTAT:TPS00003(1.0),02/04/25 23:00:00,Annuel,Personnes par kilomètre carré,Autriche,2023,110.7,,
ESTAT:TPS00003(1.0),02/04/25 23:00:00,Annuel,Personnes par kilomètre carré,Belgique,2012,366.3,,
ESTAT:TPS00003(1.0),02/04/25 23:00:00,Annuel,Personnes par kilomètre carré,Belgique,2013,368.0,,
ESTAT:TPS00003(1.0),02/04/25 23:00:00,Annuel,Personnes par kilomètre carré,Belgique,2014,369.6,,
ESTAT:TPS00003(1.0),02/04/25 23:00:00,Annuel,Personnes par kilomètre carré,Belgique,2015,371.8,,
ESTAT:TPS00003(1.0),02/04/25 23:00:00,Annuel,Personnes par kilomètre carré,Belgique,2016,373.7,b,
ESTAT:TPS00003(1.0),02/04/25 23:00:00,Annuel,Personnes par kilomètre carré,Belgique,2017,373.6,,
ESTAT:TPS00003(1.0),02/04/25 23:00:00,Annuel,Personnes par kilomètre carré,Belgique,2018,375.3,,
ESTAT:TPS00003(1.0),02/04/25 23:00:00,Annuel,Personnes par kilomètre carré,Belgique,2019,377.3,,
ESTAT:TPS00003(1.0),02/04/25 23:00:00,Annuel,Personnes par kilomètre carré,Belgique,2020,377.3,,
ESTAT:TPS00003(1.0),02/04/25 23:00:00,Annuel,Personnes par kilomètre carré,Belgique,2021,378.9,,
ESTAT:TPS00003(1.0),02/04/25 23:00:00,Annuel,Personnes par kilomètre carré,Belgique,2022,383.6,,
ESTAT:TPS00003(1.0),02/04/25 23:00:00,Annuel,Personnes par kilomètre carré,Belgique,2023,386.8,,
ESTAT:TPS00003(1.0),02/04/25 23:00:00,Annuel,Personnes par kilomètre carré,Bulgarie,2012,67.1,,
ESTAT:TPS00003(1.0),02/04/25 23:00:00,Annuel,Personnes par kilomètre carré,Bulgarie,2013,66.7,,
ESTAT:TPS00003(1.0),02/04/25 23:00:00,Annuel,Personnes par kilomètre carré,Bulgarie,2014,66.3,,
ESTAT:TPS00003(1.0),02/04/25 23:00:00,Annuel,Personnes par kilomètre carré,Bulgarie,2015,66.2,,
ESTAT:TPS00003(1.0),02/04/25 23:00:00,Annuel,Personnes par kilomètre carré,Bulgarie,2016,64.8,b,
ESTAT:TPS00003(1.0),02/04/25 23:00:00,Annuel,Personnes par kilomètre carré,Bulgarie,2017,64.3,,
ESTAT:TPS00003(1.0),02/04/25 23:00:00,Annuel,Personnes par kilomètre carré,Bulgarie,2018,63.9,,
ESTAT:TPS00003(1.0),02/04/25 23:00:00,Annuel,Personnes par kilomètre carré,Bulgarie,2019,63.4,,
ESTAT:TPS00003(1.0),02/04/25 23:00:00,Annuel,Personnes par kilomètre carré,Bulgarie,2020,63.4,,
ESTAT:TPS00003(1.0),02/04/25 23:00:00,Annuel,Personnes par kilomètre carré,Bulgarie,2021,63.0,,
ESTAT:TPS00003(1.0),02/04/25 23:00:00,Annuel,Personnes par kilomètre carré,Bulgarie,2022,58.8,,
ESTAT:TPS00003(1.0),02/04/25 23:00:00,Annuel,Personnes par kilomètre carré,Bulgarie,2023,58.6,,
ESTAT:TPS00003(1.0),02/04/25 23:00:00,Annuel,Personnes par kilomètre carré,Suisse,2012,199.9,,
ESTAT:TPS00003(1.0),02/04/25 23:00:00,Annuel,Personnes par kilomètre carré,Suisse,2013,202.3,,
ESTAT:TPS00003(1.0),02/04/25 23:00:00,Annuel,Personnes par kilomètre carré,Suisse,2014,204.7,,
ESTAT:TPS00003(1.0),02/04/25 23:00:00,Annuel,Personnes par kilomètre carré,Suisse,2015,207.1,,
ESTAT:TPS00003(1.0),02/04/25 23:00:00,Annuel,Personnes par kilomètre carré,Suisse,2016,210.1,b,
ESTAT:TPS00003(1.0),02/04/25 23:00:00,Annuel,Personnes par kilomètre carré,Suisse,2017,212.0,,
ESTAT:TPS00003(1.0),02/04/25 23:00:00,Annuel,Personnes par kilomètre carré,Suisse,2018,213.6,,
ESTAT:TPS00003(1.0),02/04/25 23:00:00,Annuel,Personnes par kilomètre carré,Suisse,2019,215.1,,
ESTAT:TPS00003(1.0),02/04/25 23:00:00,Annuel,Personnes par kilomètre carré,Suisse,2020,215.1,,
ESTAT:TPS00003(1.0),02/04/25 23:00:00,Annuel,Personnes par kilomètre carré,Suisse,2021,216.7,,
ESTAT:TPS00003(1.0),02/04/25 23:00:00,Annuel,Personnes par kilomètre carré,Suisse,2022,220.2,,
ESTAT:TPS00003(1.0),02/04/25 23:00:00,Annuel,Personnes par kilomètre carré,Suisse,2023,223.0,,
ESTAT:TPS00003(1.0),02/04/25 23:00:00,Annuel,Personnes par kilomètre carré,Chypre,2012,93.8,,
ESTAT:TPS00003(1.0),02/04/25 23:00:00,Annuel,Personnes par kilomètre carré,Chypre,2013,93.5,,
ESTAT:TPS00003(1.0),02/04/25 23:00:00,Annuel,Personnes par kilomètre carré,Chypre,2014,92.5,,
ESTAT:TPS00003(1.0),02/04/25 23:00:00,Annuel,Personnes par kilomètre carré,Chypre,2015,92.0,,
ESTAT:TPS00003(1.0),02/04/25 23:00:00,Annuel,Personnes par kilomètre carré,Chypre,2016,92.4,b,
ESTAT:TPS00003(1.0),02/04/25 23:00:00,Annuel,Personnes par kilomètre carré,Chypre,2017,93.3,,
ESTAT:TPS00003(1.0),02/04/25 23:00:00,Annuel,Personnes par kilomètre carré,Chypre,2018,94.4,,
ESTAT:TPS00003(1.0),02/04/25 23:00:00,Annuel,Personnes par kilomètre carré,Chypre,2019,95.7,,
ESTAT:TPS00003(1.0),02/04/25 23:00:00,Annuel,Personnes par kilomètre carré,Chypre,2020,95.7,,
ESTAT:TPS00003(1.0),02/04/25 23:00:00,Annuel,Personnes par kilomètre carré,Chypre,2021,96.8,,
ESTAT:TPS00003(1.0),02/04/25 23:00:00,Annuel,Personnes par kilomètre carré,Chypre,2022,100.6,b,
ESTAT:TPS00003(1.0),02/04/25 23:00:00,Annuel,Personnes par kilomètre carré,Chypre,2023,104.0,b,
ESTAT:TPS00003(1.0),02/04/25 23:00:00,Annuel,Personnes par kilomètre carré,Tchéquie,2012,136.1,,
ESTAT:TPS00003(1.0),02/04/25 23:00:00,Annuel,Personnes par kilomètre carré,Tchéquie,2013,136.1,,
ESTAT:TPS00003(1.0),02/04/25 23:00:00,Annuel,Personnes par kilomètre carré,Tchéquie,2014,136.3,,
ESTAT:TPS00003(1.0),02/04/25 23:00:00,Annuel,Personnes par kilomètre carré,Tchéquie,2015,136.6,,
ESTAT:TPS00003(1.0),02/04/25 23:00:00,Annuel,Personnes par kilomètre carré,Tchéquie,2016,136.8,b,
