DATAFLOW,LAST UPDATE,freq,unit,sex,age,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:TPS00205(1.0),11/09/25 11:00:00,Annuel,Année,Total,Moins de 1 an,Albanie,2013,77.9,,
ESTAT:TPS00205(1.0),11/09/25 11:00:00,Annuel,Année,Total,Moins de 1 an,Albanie,2014,78.2,,
ESTAT:TPS00205(1.0),11/09/25 11:00:00,Annuel,Année,Total,Moins de 1 an,Albanie,2015,77.9,,
ESTAT:TPS00205(1.0),11/09/25 11:00:00,Annuel,Année,Total,Moins de 1 an,Albanie,2016,78.5,,
ESTAT:TPS00205(1.0),11/09/25 11:00:00,Annuel,Année,Total,Moins de 1 an,Albanie,2017,78.5,,
ESTAT:TPS00205(1.0),11/09/25 11:00:00,Annuel,Année,Total,Moins de 1 an,Albanie,2018,78.9,,
ESTAT:TPS00205(1.0),11/09/25 11:00:00,Annuel,Année,Total,Moins de 1 an,Albanie,2019,79.1,,
ESTAT:TPS00205(1.0),11/09/25 11:00:00,Annuel,Année,Total,Moins de 1 an,Albanie,2020,77.4,,
ESTAT:TPS00205(1.0),11/09/25 11:00:00,Annuel,Année,Total,Moins de 1 an,Albanie,2021,75.5,,
ESTAT:TPS00205(1.0),11/09/25 11:00:00,Annuel,Année,Total,Moins de 1 an,Albanie,2022,79.1,,
ESTAT:TPS00205(1.0),11/09/25 11:00:00,Annuel,Année,Total,Moins de 1 an,Arménie,2015,75.1,,
ESTAT:TPS00205(1.0),11/09/25 11:00:00,Annuel,Année,Total,Moins de 1 an,Arménie,2016,75.1,,
ESTAT:TPS00205(1.0),11/09/25 11:00:00,Annuel,Année,Total,Moins de 1 an,Arménie,2017,75.8,,
ESTAT:TPS00205(1.0),11/09/25 11:00:00,Annuel,Année,Total,Moins de 1 an,Arménie,2018,76.7,,
ESTAT:TPS00205(1.0),11/09/25 11:00:00,Annuel,Année,Total,Moins de 1 an,Arménie,2019,76.6,,
ESTAT:TPS00205(1.0),11/09/25 11:00:00,Annuel,Année,Total,Moins de 1 an,Autriche,2013,81.3,,
ESTAT:TPS00205(1.0),11/09/25 11:00:00,Annuel,Année,Total,Moins de 1 an,Autriche,2014,81.6,,
ESTAT:TPS00205(1.0),11/09/25 11:00:00,Annuel,Année,Total,Moins de 1 an,Autriche,2015,81.3,,
ESTAT:TPS00205(1.0),11/09/25 11:00:00,Annuel,Année,Total,Moins de 1 an,Autriche,2016,81.8,,
ESTAT:TPS00205(1.0),11/09/25 11:00:00,Annuel,Année,Total,Moins de 1 an,Autriche,2017,81.7,,
ESTAT:TPS00205(1.0),11/09/25 11:00:00,Annuel,Année,Total,Moins de 1 an,Autriche,2018,81.8,,
ESTAT:TPS00205(1.0),11/09/25 11:00:00,Annuel,Année,Total,Moins de 1 an,Autriche,2019,82.0,,
ESTAT:TPS00205(1.0),11/09/25 11:00:00,Annuel,Année,Total,Moins de 1 an,Autriche,2020,81.3,,
ESTAT:TPS00205(1.0),11/09/25 11:00:00,Annuel,Année,Total,Moins de 1 an,Autriche,2021,81.3,,
ESTAT:TPS00205(1.0),11/09/25 11:00:00,Annuel,Année,Total,Moins de 1 an,Autriche,2022,81.4,,
ESTAT:TPS00205(1.0),11/09/25 11:00:00,Annuel,Année,Total,Moins de 1 an,Autriche,2023,81.9,,
ESTAT:TPS00205(1.0),11/09/25 11:00:00,Annuel,Année,Total,Moins de 1 an,Autriche,2024,82.3,ip,
ESTAT:TPS00205(1.0),11/09/25 11:00:00,Annuel,Année,Total,Moins de 1 an,Azerbaïdjan,2013,74.7,,
ESTAT:TPS00205(1.0),11/09/25 11:00:00,Annuel,Année,Total,Moins de 1 an,Azerbaïdjan,2014,74.8,,
ESTAT:TPS00205(1.0),11/09/25 11:00:00,Annuel,Année,Total,Moins de 1 an,Azerbaïdjan,2015,75.3,,
ESTAT:TPS00205(1.0),11/09/25 11:00:00,Annuel,Année,Total,Moins de 1 an,Azerbaïdjan,2017,75.6,,
ESTAT:TPS00205(1.0),11/09/25 11:00:00,Annuel,Année,Total,Moins de 1 an,Azerbaïdjan,2018,76.0,,
ESTAT:TPS00205(1.0),11/09/25 11:00:00,Annuel,Année,Total,Moins de 1 an,Azerbaïdjan,2019,76.6,,
ESTAT:TPS00205(1.0),11/09/25 11:00:00,Annuel,Année,Total,Moins de 1 an,Belgique,2013,80.7,,
ESTAT:TPS00205(1.0),11/09/25 11:00:00,Annuel,Année,Total,Moins de 1 an,Belgique,2014,81.4,,
ESTAT:TPS00205(1.0),11/09/25 11:00:00,Annuel,Année,Total,Moins de 1 an,Belgique,2015,81.1,,
ESTAT:TPS00205(1.0),11/09/25 11:00:00,Annuel,Année,Total,Moins de 1 an,Belgique,2016,81.5,,
