DATAFLOW,LAST UPDATE,freq,unit,na_item,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:SDG_08_10(1.0),09/01/26 23:00:00,Annuel,"Volumes chaînés (2020), euros par personne",Produit intérieur brut aux prix du marché,Albanie,2000,2120,,
ESTAT:SDG_08_10(1.0),09/01/26 23:00:00,Annuel,"Volumes chaînés (2020), euros par personne",Produit intérieur brut aux prix du marché,Albanie,2001,2330,,
ESTAT:SDG_08_10(1.0),09/01/26 23:00:00,Annuel,"Volumes chaînés (2020), euros par personne",Produit intérieur brut aux prix du marché,Albanie,2002,2440,,
ESTAT:SDG_08_10(1.0),09/01/26 23:00:00,Annuel,"Volumes chaînés (2020), euros par personne",Produit intérieur brut aux prix du marché,Albanie,2003,2580,,
ESTAT:SDG_08_10(1.0),09/01/26 23:00:00,Annuel,"Volumes chaînés (2020), euros par personne",Produit intérieur brut aux prix du marché,Albanie,2004,2730,,
ESTAT:SDG_08_10(1.0),09/01/26 23:00:00,Annuel,"Volumes chaînés (2020), euros par personne",Produit intérieur brut aux prix du marché,Albanie,2005,2880,,
ESTAT:SDG_08_10(1.0),09/01/26 23:00:00,Annuel,"Volumes chaînés (2020), euros par personne",Produit intérieur brut aux prix du marché,Albanie,2006,3080,,
ESTAT:SDG_08_10(1.0),09/01/26 23:00:00,Annuel,"Volumes chaînés (2020), euros par personne",Produit intérieur brut aux prix du marché,Albanie,2007,3300,,
ESTAT:SDG_08_10(1.0),09/01/26 23:00:00,Annuel,"Volumes chaînés (2020), euros par personne",Produit intérieur brut aux prix du marché,Albanie,2008,3550,,
ESTAT:SDG_08_10(1.0),09/01/26 23:00:00,Annuel,"Volumes chaînés (2020), euros par personne",Produit intérieur brut aux prix du marché,Albanie,2009,3680,,
ESTAT:SDG_08_10(1.0),09/01/26 23:00:00,Annuel,"Volumes chaînés (2020), euros par personne",Produit intérieur brut aux prix du marché,Albanie,2010,3800,,
ESTAT:SDG_08_10(1.0),09/01/26 23:00:00,Annuel,"Volumes chaînés (2020), euros par personne",Produit intérieur brut aux prix du marché,Albanie,2011,3910,,
ESTAT:SDG_08_10(1.0),09/01/26 23:00:00,Annuel,"Volumes chaînés (2020), euros par personne",Produit intérieur brut aux prix du marché,Albanie,2012,3950,,
ESTAT:SDG_08_10(1.0),09/01/26 23:00:00,Annuel,"Volumes chaînés (2020), euros par personne",Produit intérieur brut aux prix du marché,Albanie,2013,4030,,
ESTAT:SDG_08_10(1.0),09/01/26 23:00:00,Annuel,"Volumes chaînés (2020), euros par personne",Produit intérieur brut aux prix du marché,Albanie,2014,4130,,
ESTAT:SDG_08_10(1.0),09/01/26 23:00:00,Annuel,"Volumes chaînés (2020), euros par personne",Produit intérieur brut aux prix du marché,Albanie,2015,4230,,
ESTAT:SDG_08_10(1.0),09/01/26 23:00:00,Annuel,"Volumes chaînés (2020), euros par personne",Produit intérieur brut aux prix du marché,Albanie,2016,4400,,
ESTAT:SDG_08_10(1.0),09/01/26 23:00:00,Annuel,"Volumes chaînés (2020), euros par personne",Produit intérieur brut aux prix du marché,Albanie,2017,4550,,
ESTAT:SDG_08_10(1.0),09/01/26 23:00:00,Annuel,"Volumes chaînés (2020), euros par personne",Produit intérieur brut aux prix du marché,Albanie,2018,4730,,
ESTAT:SDG_08_10(1.0),09/01/26 23:00:00,Annuel,"Volumes chaînés (2020), euros par personne",Produit intérieur brut aux prix du marché,Albanie,2019,4850,,
ESTAT:SDG_08_10(1.0),09/01/26 23:00:00,Annuel,"Volumes chaînés (2020), euros par personne",Produit intérieur brut aux prix du marché,Albanie,2020,4710,,
ESTAT:SDG_08_10(1.0),09/01/26 23:00:00,Annuel,"Volumes chaînés (2020), euros par personne",Produit intérieur brut aux prix du marché,Albanie,2021,5190,,
ESTAT:SDG_08_10(1.0),09/01/26 23:00:00,Annuel,"Volumes chaînés (2020), euros par personne",Produit intérieur brut aux prix du marché,Albanie,2022,5500,,
ESTAT:SDG_08_10(1.0),09/01/26 23:00:00,Annuel,"Volumes chaînés (2020), euros par personne",Produit intérieur brut aux prix du marché,Autriche,2000,37880,,
ESTAT:SDG_08_10(1.0),09/01/26 23:00:00,Annuel,"Volumes chaînés (2020), euros par personne",Produit intérieur brut aux prix du marché,Autriche,2001,38230,,
ESTAT:SDG_08_10(1.0),09/01/26 23:00:00,Annuel,"Volumes chaînés (2020), euros par personne",Produit intérieur brut aux prix du marché,Autriche,2002,38610,,
ESTAT:SDG_08_10(1.0),09/01/26 23:00:00,Annuel,"Volumes chaînés (2020), euros par personne",Produit intérieur brut aux prix du marché,Autriche,2003,38880,,
ESTAT:SDG_08_10(1.0),09/01/26 23:00:00,Annuel,"Volumes chaînés (2020), euros par personne",Produit intérieur brut aux prix du marché,Autriche,2004,39620,,
ESTAT:SDG_08_10(1.0),09/01/26 23:00:00,Annuel,"Volumes chaînés (2020), euros par personne",Produit intérieur brut aux prix du marché,Autriche,2005,40270,,
ESTAT:SDG_08_10(1.0),09/01/26 23:00:00,Annuel,"Volumes chaînés (2020), euros par personne",Produit intérieur brut aux prix du marché,Autriche,2006,41370,,
ESTAT:SDG_08_10(1.0),09/01/26 23:00:00,Annuel,"Volumes chaînés (2020), euros par personne",Produit intérieur brut aux prix du marché,Autriche,2007,42790,,
ESTAT:SDG_08_10(1.0),09/01/26 23:00:00,Annuel,"Volumes chaînés (2020), euros par personne",Produit intérieur brut aux prix du marché,Autriche,2008,43270,,
ESTAT:SDG_08_10(1.0),09/01/26 23:00:00,Annuel,"Volumes chaînés (2020), euros par personne",Produit intérieur brut aux prix du marché,Autriche,2009,41620,,
ESTAT:SDG_08_10(1.0),09/01/26 23:00:00,Annuel,"Volumes chaînés (2020), euros par personne",Produit intérieur brut aux prix du marché,Autriche,2010,42280,,
ESTAT:SDG_08_10(1.0),09/01/26 23:00:00,Annuel,"Volumes chaînés (2020), euros par personne",Produit intérieur brut aux prix du marché,Autriche,2011,43370,,
ESTAT:SDG_08_10(1.0),09/01/26 23:00:00,Annuel,"Volumes chaînés (2020), euros par personne",Produit intérieur brut aux prix du marché,Autriche,2012,43450,,
ESTAT:SDG_08_10(1.0),09/01/26 23:00:00,Annuel,"Volumes chaînés (2020), euros par personne",Produit intérieur brut aux prix du marché,Autriche,2013,43080,,
ESTAT:SDG_08_10(1.0),09/01/26 23:00:00,Annuel,"Volumes chaînés (2020), euros par personne",Produit intérieur brut aux prix du marché,Autriche,2014,43070,,
ESTAT:SDG_08_10(1.0),09/01/26 23:00:00,Annuel,"Volumes chaînés (2020), euros par personne",Produit intérieur brut aux prix du marché,Autriche,2015,43200,,
ESTAT:SDG_08_10(1.0),09/01/26 23:00:00,Annuel,"Volumes chaînés (2020), euros par personne",Produit intérieur brut aux prix du marché,Autriche,2016,43550,,
ESTAT:SDG_08_10(1.0),09/01/26 23:00:00,Annuel,"Volumes chaînés (2020), euros par personne",Produit intérieur brut aux prix du marché,Autriche,2017,44260,,
ESTAT:SDG_08_10(1.0),09/01/26 23:00:00,Annuel,"Volumes chaînés (2020), euros par personne",Produit intérieur brut aux prix du marché,Autriche,2018,45140,,
ESTAT:SDG_08_10(1.0),09/01/26 23:00:00,Annuel,"Volumes chaînés (2020), euros par personne",Produit intérieur brut aux prix du marché,Autriche,2019,45730,,
ESTAT:SDG_08_10(1.0),09/01/26 23:00:00,Annuel,"Volumes chaînés (2020), euros par personne",Produit intérieur brut aux prix du marché,Autriche,2020,42650,,
ESTAT:SDG_08_10(1.0),09/01/26 23:00:00,Annuel,"Volumes chaînés (2020), euros par personne",Produit intérieur brut aux prix du marché,Autriche,2021,44580,,
ESTAT:SDG_08_10(1.0),09/01/26 23:00:00,Annuel,"Volumes chaînés (2020), euros par personne",Produit intérieur brut aux prix du marché,Autriche,2022,46430,,
ESTAT:SDG_08_10(1.0),09/01/26 23:00:00,Annuel,"Volumes chaînés (2020), euros par personne",Produit intérieur brut aux prix du marché,Autriche,2023,45670,,
ESTAT:SDG_08_10(1.0),09/01/26 23:00:00,Annuel,"Volumes chaînés (2020), euros par personne",Produit intérieur brut aux prix du marché,Autriche,2024,45140,,
ESTAT:SDG_08_10(1.0),09/01/26 23:00:00,Annuel,"Volumes chaînés (2020), euros par personne",Produit intérieur brut aux prix du marché,Belgique,2000,35370,,
ESTAT:SDG_08_10(1.0),09/01/26 23:00:00,Annuel,"Volumes chaînés (2020), euros par personne",Produit intérieur brut aux prix du marché,Belgique,2001,35640,,
ESTAT:SDG_08_10(1.0),09/01/26 23:00:00,Annuel,"Volumes chaînés (2020), euros par personne",Produit intérieur brut aux prix du marché,Belgique,2002,36080,,
ESTAT:SDG_08_10(1.0),09/01/26 23:00:00,Annuel,"Volumes chaînés (2020), euros par personne",Produit intérieur brut aux prix du marché,Belgique,2003,36300,,
